,Adj Close,Close,High,Low,Open,Volume
2017-08-17,38702.09375,47040.0,47300.0,46740.0,46960.0,12415850
2017-08-18,38586.90234375,46900.0,47240.0,46240.0,46760.0,10477950
2017-08-21,38537.55078125,46840.0,47240.0,46580.0,47240.0,5103450
2017-08-22,38669.1796875,47000.0,47160.0,46700.0,46820.0,7381750
2017-08-23,39064.09375,47480.0,47780.0,47180.0,47780.0,9384700
2017-08-24,39097.0,47520.0,47660.0,47340.0,47520.0,8657450
2017-08-25,38685.62890625,47020.0,47880.0,46720.0,47880.0,11243550
2017-08-28,37928.70703125,46100.0,47240.0,45960.0,47020.0,9962100
2017-08-29,37912.25,46080.0,46080.0,45160.0,45640.0,12623650
2017-08-30,38010.98046875,46200.0,46400.0,45960.0,46380.0,7513000
2017-08-31,38109.71484375,46320.0,46640.0,46000.0,46220.0,11011700
2017-09-01,38241.35546875,46480.0,46640.0,46300.0,46460.0,10641700
2017-09-04,37879.3359375,46040.0,46360.0,45500.0,45780.0,7943500
2017-09-05,38471.71875,46760.0,46900.0,45960.0,46240.0,11716100
2017-09-06,38669.1796875,47000.0,47180.0,46700.0,46760.0,10811050
2017-09-07,39590.65625,48120.0,48220.0,47000.0,47000.0,9676500
2017-09-08,40380.48828125,49080.0,49180.0,48580.0,48700.0,10893000
2017-09-11,40972.875,49800.0,50180.0,49500.0,49700.0,10374750
2017-09-12,40808.3203125,49600.0,50220.0,49140.0,50200.0,12029750
2017-09-13,40824.76953125,49620.0,50400.0,49440.0,49820.0,9357000
2017-09-14,41384.25,50300.0,50320.0,49760.0,50060.0,14204750
2017-09-15,41466.5234375,50400.0,50560.0,49860.0,50300.0,10757300
2017-09-18,43177.83984375,52480.0,52480.0,50520.0,50540.0,11524950
2017-09-19,42881.65234375,52120.0,52640.0,51780.0,52500.0,9850400
2017-09-20,42963.94140625,52220.0,52500.0,51840.0,52120.0,9292750
2017-09-21,43441.12109375,52800.0,52960.0,52220.0,52220.0,8839800
2017-09-25,44115.77734375,53620.0,53680.0,53000.0,53000.0,9303100
2017-09-26,44115.77734375,53620.0,53620.0,53620.0,53620.0,0
2017-09-27,42519.6484375,51680.0,52200.0,51500.0,52000.0,10797000
2017-09-28,42288.64453125,51260.0,52460.0,51260.0,52260.0,12025450
2017-09-29,42305.15625,51280.0,51620.0,50840.0,51180.0,12909400
2017-10-10,43559.12109375,52800.0,53640.0,52800.0,53360.0,20519800
2017-10-11,45077.0859375,54640.0,54760.0,53340.0,53600.0,13652150
2017-10-12,45209.09375,54800.0,55160.0,54100.0,54840.0,13890700
2017-10-13,44549.1015625,54000.0,54840.0,53780.0,54540.0,12601650
2017-10-16,44483.10546875,53920.0,54860.0,53760.0,53980.0,9769950
2017-10-17,45209.09375,54800.0,55380.0,54000.0,54020.0,10607800
2017-10-18,45176.0859375,54760.0,55240.0,54040.0,54820.0,10110750
2017-10-19,43707.6171875,52980.0,54700.0,52980.0,54700.0,12108700
2017-10-20,44417.1015625,53840.0,54100.0,52800.0,52800.0,8027050
2017-10-23,44796.59375,54300.0,54640.0,54000.0,54600.0,8311050
2017-10-24,44582.10546875,54040.0,54780.0,54040.0,54700.0,5806050
2017-10-25,44466.6015625,53900.0,54420.0,53700.0,54040.0,5882850
2017-10-26,43229.12890625,52400.0,53900.0,52400.0,53720.0,9776550
2017-10-27,43790.109375,53080.0,53320.0,52140.0,52400.0,7392500
2017-10-30,44582.10546875,54040.0,54320.0,53700.0,53780.0,8196150
2017-10-31,45440.08203125,55080.0,55440.0,53500.0,54060.0,13381550
2017-11-01,47205.546875,57220.0,57500.0,56180.0,57500.0,14510250
2017-11-02,47073.546875,57060.0,57520.0,56760.0,57500.0,10721050
2017-11-03,46512.5625,56380.0,57140.0,55860.0,57060.0,9935800
2017-11-06,46512.5625,56380.0,56500.0,55340.0,56380.0,9000950
2017-11-07,46281.56640625,56100.0,56920.0,55860.0,56380.0,7464550
2017-11-08,46826.04296875,56760.0,57060.0,55860.0,56100.0,8520200
2017-11-09,46479.5625,56340.0,56920.0,55900.0,56920.0,11994050
2017-11-10,46529.05859375,56400.0,56540.0,55780.0,55800.0,6748800
2017-11-13,46512.5625,56380.0,56800.0,56100.0,56400.0,8806650
2017-11-14,46133.07421875,55920.0,56740.0,55920.0,56380.0,6725000
2017-11-15,45654.58984375,55340.0,56320.0,55320.0,55920.0,8816950
2017-11-16,46017.5703125,55780.0,56000.0,55400.0,55440.0,7640700
2017-11-17,46050.56640625,55820.0,56880.0,55820.0,56400.0,10733150
2017-11-20,45539.08203125,55200.0,55980.0,55200.0,55900.0,9472750
2017-11-21,45605.08203125,55280.0,55840.0,55280.0,55400.0,10324700
2017-11-22,46166.0703125,55960.0,56200.0,55620.0,55980.0,7952950
2017-11-23,45621.578125,55300.0,55980.0,55020.0,55960.0,6272900
2017-11-24,45753.57421875,55460.0,55500.0,55180.0,55300.0,4536200
2017-11-27,43427.1171875,52640.0,55360.0,52640.0,55360.0,18128900
2017-11-28,43955.1171875,53280.0,53280.0,51720.0,52700.0,13499400
2017-11-29,43394.1328125,52600.0,53240.0,52500.0,53200.0,9590250
2017-11-30,41909.1484375,50800.0,51860.0,50200.0,50800.0,29634150
2017-12-01,41942.15625,50840.0,51780.0,50800.0,50800.0,12868600
2017-12-04,42354.64453125,51340.0,51340.0,50020.0,50840.0,14865050
2017-12-05,42288.64453125,51260.0,51300.0,50280.0,50600.0,9326550
2017-12-06,41265.65625,50020.0,51560.0,50020.0,51260.0,10889200
2017-12-07,41859.65234375,50740.0,50980.0,50020.0,50040.0,11065600
2017-12-08,42899.1328125,52000.0,52000.0,51040.0,51360.0,11290450
2017-12-11,42717.640625,51780.0,52040.0,51500.0,52000.0,8125850
2017-12-12,42981.63671875,52100.0,52100.0,51660.0,51820.0,8765050
2017-12-13,42338.15234375,51320.0,52100.0,51100.0,52100.0,11333700
2017-12-14,42123.65234375,51060.0,52280.0,51060.0,51320.0,20310400
2017-12-15,41760.65234375,50620.0,51480.0,50520.0,51240.0,14928550
2017-12-18,42239.15234375,51200.0,51240.0,50620.0,50620.0,7350250
2017-12-19,42536.14453125,51560.0,52080.0,51520.0,51540.0,11978600
2017-12-21,40539.68359375,49140.0,51060.0,49100.0,51000.0,15624300
2017-12-22,41001.68359375,49700.0,49960.0,49240.0,49400.0,11199650
2017-12-26,39764.1953125,48200.0,50100.0,48200.0,49760.0,16039850
2017-12-27,41087.73046875,49360.0,49560.0,48460.0,48960.0,10743600
2017-12-28,42419.5859375,50960.0,50960.0,49500.0,49560.0,8985450
2018-01-02,42469.51953125,51020.0,51400.0,50780.0,51380.0,8474250
2018-01-03,42968.96875,51620.0,52560.0,51420.0,52540.0,10013500
2018-01-04,42519.46484375,51080.0,52180.0,50640.0,52120.0,11695450
